Created At: 2026-07-27T07:29:23Z
Completed At: 2026-07-27T07:29:26Z
File Path: `file:///c:/Users/whilmis/Documents/GitHub/coastline-/src/views/employee/projects/tabs/GanttGrid.tsx`
Total Lines: 869
Total Bytes: 41091
Showing lines 790 to 850
The following code has been modified to include a line number before every line, in the format: <line_number>: <original_line>. Please note that any changes targeting the original code should remove the line number, colon, and leading space.
790:                                     className={containerClasses}
791:                                     title={`Ver asignaciones de ${c.concept}`}
792:                                   >
793:                                     {assignmentViewMode === 'MANO_OBRA' && <HardHat size={10} />}
794:                                     {assignmentViewMode === 'MAQUINARIA' && <Tractor size={10} />}
795:                                     {assignmentViewMode === 'MATERIALES' && <Package size={10} />}
796:                                     
797:                                     {executionStatus === 'match' && <CheckCircle2 size={12} className="text-emerald-600" />}
798:                                     {(executionStatus === 'mismatch' || executionStatus === 'partial') && <AlertTriangle size={12} className="text-orange-600" />}
799:                                     
800:                                     <span className={executionStatus !== 'none' ? 'font-bold' : 'font-semibold'}>
801:                                       {c.concept}
802:                                     </span>
803:                                     
804:                                     {assignmentViewMode === 'MANO_OBRA' && (
805:                                       <span className="opacity-80 flex items-center">
806:                                         {(() => {
807:                                           let names = '';
808:                                           if (executedCount > 0) {
809:                                             names = executedWorkers.map((ew: any) => ew.dailyLogWorker?.user?.name || ew.dailyLogWorker?.externalName || 'Ext').join(', ');
810:                                           } else if (c.plannedWorkers && c.plannedWorkers.length > 0) {
811:                                             names = c.plannedWorkers.map((pw: any) => pw.user?.name || 'Usr').join(', ');
812:                                           }
813:                                           if (names) {
814:                                             return <span className="ml-1 italic truncate max-w-[120px]" title={names}>- {names}</span>;
815:                                           }
816:                                           return <span>({assignedCount}{c.quantity > 0 ? `/${c.quantity}` : ''})</span>;
817:                                         })()}
818:                                       </span>
819:                                     )}
820:                                     {assignmentViewMode !== 'MANO_OBRA' && (
821:                                       <span className="opacity-80 ml-0.5">
822:                                         ({executedQuantity > 0 ? `${executedQuantity}/` : ''}{c.quantity})
823:                                       </span>
824:                                     )}
825:                                   </div>
826:                                 );
827:                               })}
828:                           </div>
829:                         )}
830:                       </React.Fragment>
831:                     );
832:                   })}
833:                 </div>
834:               );
835:             }
836:             return <div key={task.id} className="h-16 border-b border-transparent relative flex items-center group hover:bg-slate-50/50" />;
837:           })}
838:         </div>
839:       </div>
840: 
841:       {selectedTaskComponent?.component?.resourceType === 'MANO_OBRA' ? (
842:         <WorkerAssignmentModal 
843:           isOpen={!!selectedTaskComponent}
844:           onClose={() => setSelectedTaskComponent(null)}
845:           taskId={selectedTaskComponent?.taskId || ''}
846:           component={selectedTaskComponent?.component || null}
847:           task={visibleTasks.find(t => t.id === selectedTaskComponent?.taskId) || null}
848:           plan={plansMap ? (plansMap.get(visibleTasks.find(t => t.id === selectedTaskComponent?.taskId)?.planId || '') || plan) : plan}
849:           onUpdate={() => {
850:             onUpdate();
The above content does NOT show the entire file contents. If you need to view any lines of the file which were not shown to complete your task, call this tool again to view those lines.
